City,Events,lat,lon,first event
Albuquerque,1,-106.650422,35.0843859,2017
Amsterdam,1,4.9041389,52.3675734,2017
Ankara,2,32.866287,39.925533,2020
Ann Arbor,4,-83.7430378,42.2808256,2014
Atlanta,2,-84.3879824,33.7489954,2018
Austin,2,-97.7430608,30.267153,2019
Avoca,1,-6.2141,52.8587,2020
Baltimore,2,-76.6121893,39.2903848,2018
Beijing,4,116.4073963,39.9041999,2017
Berkeley,1,-122.273042,37.8715226,2015
Berlin,1,13.404954,52.5200066,2014
Bethesda,2,-84.0840795,33.9214924,2018
Bilbao,1,-2.9349852,43.2630126,2017
Birmingham,2,-86.8103567,33.5185892,2017
Bloomington,2,-86.5263857,39.165325,2017
Boston,4,-71.0588801,42.3600825,2014
Brisbane,1,153.0251,-27.4698,2020
Cambridge,2,0.1149085,52.2042666,2017
Coventry,1,-1.519693,52.406822,2017
Dallas,1,-96.7969879,32.7766642,2019
DC,5,-77.0368707,38.9071923,2014
Detroit,1,-83.0457538,42.331427,2018
Dublin,1,-6.2603097,53.3498053,2018
Durham,1,-78.898619,35.9940329,2017
Espoo,1,24.6559,60.2054911,2018
Eugene,3,-123.0867536,44.0520691,2017
Geneva,2,6.1431577,46.2043907,2019
Ghent,2,3.7174243,51.0543422,2017
Hanover,1,-72.120314,43.861077,2017
Honolulu,1,-157.8583333,21.3069444,2015
Hyderabad,1,78.486671,17.385044,2018
Iowa,1,-93.097702,41.8780025,2017
Lausanne,1,6.6322734,46.5196535,2016
Leiden,1,52.161091,4.49015,2019
Leipzig,4,12.3730747,51.3396955,2012
Lisbon,1,-9.1393366,38.7222524,2019
London,6,-81.249725,42.983612,2017
Los Angeles,4,-118.2436849,34.0522342,2018
Louvain,1,4.7005,50.8798,2020
Madison,1,-89.4012302,43.0730517,2017
Madrid,1,-3.7037902,40.4167754,2018
Magdeburg,2,11.6276237,52.1205333,2018
Marburg,3,8.7667933,50.8021728,2019
Marseille,2,5.36978,43.296482,2019
Miami,4,-80.1917902,25.7616798,2014
Montreal,10,-73.567256,45.5016889,2014
Munich,1,11.5819805,48.1351253,2017
Nanning,1,108.366543,22.817002,2019
New Haven,2,-72.9278835,41.308274,2018
New York City,7,-74.0059728,40.7127753,2014
Nijmegen,1,51.812565,5.837226,2020
Ontario,1,-85.3232,51.2538,2020
Padova,3,11.8767611,45.4064349,2018
Paris,7,2.3522219,48.856614,2013
Pittsburgh,1,-79.9959,40.4406,2020
Porto Alegre,4,-51.2176584,-30.0346471,2014
Princeton,2,-74.6550739,40.3430942,2015
Querétaro,3,-100.3898881,20.5887932,2019
Rennes,2,-1.6777926,48.117266,2019
Rome,1,12.4963655,41.9027835,2019
Rotterdam,1,4.4777326,51.9244201,2017
San Francisco,3,-122.4194155,37.7749295,2017
San Sebastian,2,-1.9812313,43.318334,2018
Seattle,9,-122.3320708,47.6062095,2013
Shanghai,1,121.473701,31.230416,2019
Singapore,3,103.819836,1.352083,2017
St. Louis,1,-90.1994042,38.6270025,2017
Stockholm,3,18.0685808,59.3293235,2017
Toronto,6,-79.3831843,43.653226,2014
Toruń,1,18.5984437,53.0137902,2019
Urbana,1,-88.2072697,40.1105875,2017
Valparaíso,1,-71.6126885,-33.047238,2017
Vancouver,1,49.2827,123.1207,2017
Vienna,2,16.3738189,48.2081743,2016
Wako,1,139.6058063,35.7813326,2017
Warsaw,1,21.0122287,52.2296756,2017
York,1,-76.727745,39.9625984,2017
Zagreb,3,15.9819189,45.8150108,2018
Zurich,4,-96.8236665,33.0727467,2017